w_ptmo,label,t,A_true,B_true,P_true,A_noisy,B_noisy,X_true
0.05,5% PTMO,6.722408026755852,0.06873811738382844,0.05173811738382844,0.028261882616171557,0.06876433588241936,0.05197302035265215,0.2913596145997068
0.05,5% PTMO,6.7558528428093645,0.06864311645700114,0.051643116457001134,0.028356883542998864,0.06639278909960492,0.054757366118738625,0.29233900559792647
0.05,5% PTMO,6.789297658862876,0.06854842079228178,0.051548420792281766,0.028451579207718226,0.0632103186453688,0.0508365233671753,0.2933152495641054
0.05,5% PTMO,6.822742474916388,0.068454028932491,0.05145402893249099,0.028545971067509,0.06905550709105049,0.05402622310278474,0.29428836152071136
0.05,5% PTMO,6.856187290969899,0.06835993942902811,0.051359939429028105,0.02864006057097189,0.07191801381947256,0.045736728969838755,0.29525835640177206
0.05,5% PTMO,6.889632107023411,0.06826615084187106,0.05126615084187104,0.02873384915812895,0.06059557998819295,0.057654534951363585,0.2962252490528757
0.05,5% PTMO,6.9230769230769225,0.06817266173957642,0.05117266173957641,0.028827338260423586,0.06983423179947439,0.047430229056793644,0.2971890542311709
0.05,5% PTMO,6.956521739130435,0.06807947069927944,0.051079470699279435,0.028920529300720556,0.07583523057689205,0.05165784387074373,0.29814978660536656
0.05,5% PTMO,6.989966555183946,0.06798657630669404,0.05098657630669402,0.02901342369330597,0.07388306222701317,0.05132416871374457,0.2991074607557316
0.05,5% PTMO,7.023411371237458,0.0678939771561127,0.0508939771561127,0.029106022843887296,0.07819771678052263,0.05967068136832872,0.3000620911740959
0.05,5% PTMO,7.056856187290969,0.06780167185040666,0.050801671850406654,0.02919832814959334,0.0665568511080113,0.05565952660517843,0.30101369226384894
0.05,5% PTMO,7.090301003344481,0.06770965900102573,0.05070965900102572,0.029290340998974276,0.07093653874895146,0.05755281678868746,0.301962278339941
0.05,5% PTMO,7.123745819397993,0.06761793722799839,0.05061793722799838,0.029382062772001616,0.06279331992509786,0.054048194527990576,0.3029078636288826
0.05,5% PTMO,7.157190635451505,0.06752650515993178,0.05052650515993176,0.029473494840068233,0.07281862759417972,0.04173280772781619,0.30385046226874457
0.05,5% PTMO,7.190635451505017,0.06743536143401166,0.050435361434011644,0.029564638565988347,0.061519068870682786,0.04023920054521114,0.30479008830915816
